"ts","starttime","detectorid","volume","speed","occupancy","status","dqflags"
1316196080,"2011-09-16 11:01:20-07",1346,3,66,3,2,0
1316196100,"2011-09-16 11:01:40-07",1346,6,73,7,2,0
1316196120,"2011-09-16 11:02:00-07",1346,8,60,14,2,0
1316196140,"2011-09-16 11:02:20-07",1346,5,64,13,2,0
1316196160,"2011-09-16 11:02:40-07",1346,9,63,15,2,0
1316196180,"2011-09-16 11:03:00-07",1346,8,58,14,2,0
1316196200,"2011-09-16 11:03:20-07",1346,9,60,15,2,0
1316196220,"2011-09-16 11:03:40-07",1346,7,66,13,2,0
1316196240,"2011-09-16 11:04:00-07",1346,12,69,17,3,0
1316196260,"2011-09-16 11:04:20-07",1346,9,54,16,2,0
1316196280,"2011-09-16 11:04:40-07",1346,7,71,10,2,0
1316196300,"2011-09-16 11:05:00-07",1346,5,72,8,2,0
1316196320,"2011-09-16 11:05:20-07",1346,6,64,8,2,0
1316196340,"2011-09-16 11:05:40-07",1346,7,58,14,2,0
1316196360,"2011-09-16 11:06:00-07",1346,6,67,5,2,0
1316196380,"2011-09-16 11:06:20-07",1346,5,76,7,2,0
1316196400,"2011-09-16 11:06:40-07",1346,9,61,14,2,0
1316196420,"2011-09-16 11:07:00-07",1346,7,62,13,2,0
1316196440,"2011-09-16 11:07:20-07",1346,5,65,11,2,0
1316196460,"2011-09-16 11:07:40-07",1346,8,62,11,2,0
1316196480,"2011-09-16 11:08:00-07",1346,7,70,10,2,0
1316196500,"2011-09-16 11:08:20-07",1346,9,65,12,2,0
1316196520,"2011-09-16 11:08:40-07",1346,6,72,9,2,0
1316196540,"2011-09-16 11:09:00-07",1346,7,61,9,2,0
1316196560,"2011-09-16 11:09:20-07",1346,8,72,9,2,0
1316196580,"2011-09-16 11:09:40-07",1346,9,60,17,2,0
1316196600,"2011-09-16 11:10:00-07",1346,7,72,7,2,0
1316196620,"2011-09-16 11:10:20-07",1346,4,65,9,2,0
1316196640,"2011-09-16 11:10:40-07",1346,4,64,10,2,0
1316196660,"2011-09-16 11:11:00-07",1346,6,55,12,2,0
1316196680,"2011-09-16 11:11:20-07",1346,7,59,18,2,0
1316196700,"2011-09-16 11:11:40-07",1346,8,60,11,2,0
1316196720,"2011-09-16 11:12:00-07",1346,10,60,19,2,0
1316196740,"2011-09-16 11:12:20-07",1346,12,63,19,2,0
1316196760,"2011-09-16 11:12:40-07",1346,5,75,8,2,0
1316196780,"2011-09-16 11:13:00-07",1346,8,57,24,2,0
1316196800,"2011-09-16 11:13:20-07",1346,4,51,8,2,0
1316196820,"2011-09-16 11:13:40-07",1346,6,60,8,2,0
1316196840,"2011-09-16 11:14:00-07",1346,10,57,14,2,0
1316196860,"2011-09-16 11:14:20-07",1346,7,57,11,2,0
1316196880,"2011-09-16 11:14:40-07",1346,6,70,7,2,0
1316196900,"2011-09-16 11:15:00-07",1346,5,76,5,2,0
1316196920,"2011-09-16 11:15:20-07",1346,8,58,12,2,0
1316196940,"2011-09-16 11:15:40-07",1346,10,56,16,2,0
1316196960,"2011-09-16 11:16:00-07",1346,5,65,7,2,0
1316196980,"2011-09-16 11:16:20-07",1346,7,59,18,2,0
1316197000,"2011-09-16 11:16:40-07",1346,12,55,21,2,0
1316197020,"2011-09-16 11:17:00-07",1346,1,67,1,2,0
1316197040,"2011-09-16 11:17:20-07",1346,4,58,8,2,0
1316197060,"2011-09-16 11:17:40-07",1346,11,58,16,2,0
